size,n_neurons,n_patterns,stored_labels,noise_level,noise_percent,repetitions,correct,total_trials,accuracy,mean_noisy_similarity,mean_recovered_similarity,std_recovered_similarity
7,49,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.15,15,10,40,260,0.15384615384615385,0.8571428571428571,0.8995290423861853,0.06426841284288451
10,100,1,A,0.05,5,10,10,10,1.0,0.9499999999999998,1.0,0.0
10,100,1,A,0.1,10,10,10,10,1.0,0.9,1.0,0.0
10,100,1,A,0.15,15,10,10,10,1.0,0.85,1.0,0.0
10,100,2,AB,0.05,5,10,20,20,1.0,0.9499999999999998,1.0,0.0
10,100,2,AB,0.1,10,10,20,20,1.0,0.8999999999999998,1.0,0.0
10,100,2,AB,0.15,15,10,20,20,1.0,0.85,1.0,0.0
10,100,3,ABC,0.05,5,10,0,30,0.0,0.9499999999999997,0.9266666666666669,0.024944382578492914
10,100,3,ABC,0.1,10,10,0,30,0.0,0.8999999999999998,0.9266666666666669,0.024944382578492914
10,100,3,ABC,0.15,15,10,0,30,0.0,0.8500000000000002,0.9266666666666669,0.024944382578492914
10,100,4,ABCD,0.05,5,10,10,40,0.25,0.95,0.925,0.05024937810560445
10,100,4,ABCD,0.1,10,10,10,40,0.25,0.9,0.925,0.05024937810560445
10,100,4,ABCD,0.15,15,10,9,40,0.225,0.85,0.9235,0.04947474103014588
10,100,5,ABCDE,0.05,5,10,0,50,0.0,0.9500000000000002,0.9219999999999999,0.041182520563947986
10,100,5,ABCDE,0.1,10,10,0,50,0.0,0.9,0.9219999999999999,0.041182520563947986
10,100,5,ABCDE,0.15,15,10,0,50,0.0,0.85,0.9219999999999999,0.041182520563947986
10,100,6,ABCDEF,0.05,5,10,10,60,0.16666666666666666,0.9500000000000003,0.9233333333333333,0.055876848714134036
10,100,6,ABCDEF,0.1,10,10,10,60,0.16666666666666666,0.9,0.9233333333333333,0.055876848714134036
10,100,6,ABCDEF,0.15,15,10,10,60,0.16666666666666666,0.85,0.9233333333333333,0.055876848714134036
10,100,7,ABCDEFG,0.05,5,10,0,70,0.0,0.9500000000000002,0.9171428571428569,0.0419912527334259
10,100,7,ABCDEFG,0.1,10,10,0,70,0.0,0.9,0.9171428571428569,0.0419912527334259
10,100,7,ABCDEFG,0.15,15,10,0,70,0.0,0.85,0.9171428571428569,0.0419912527334259
