size,n_patterns,noise_level,accuracy,network
7,19,0.05,0.2105263157894736,Hebbian
7,19,0.1,0.2105263157894736,Hebbian
7,19,0.15,0.2105263157894736,Hebbian
7,20,0.05,0.2,Hebbian
7,20,0.1,0.2,Hebbian
7,20,0.15,0.19,Hebbian
7,21,0.05,0.1904761904761904,Hebbian
7,21,0.1,0.1904761904761904,Hebbian
7,21,0.15,0.1904761904761904,Hebbian
7,22,0.05,0.1818181818181818,Hebbian
7,22,0.1,0.1818181818181818,Hebbian
7,22,0.15,0.1818181818181818,Hebbian
7,23,0.05,0.1739130434782608,Hebbian
7,23,0.1,0.1739130434782608,Hebbian
7,23,0.15,0.1739130434782608,Hebbian
7,24,0.05,0.1666666666666666,Hebbian
7,24,0.1,0.1666666666666666,Hebbian
7,24,0.15,0.1666666666666666,Hebbian
7,25,0.05,0.16,Hebbian
7,25,0.1,0.16,Hebbian
7,25,0.15,0.16,Hebbian
7,26,0.05,0.1538461538461538,Hebbian
7,26,0.1,0.1538461538461538,Hebbian
7,26,0.15,0.15,Hebbian
10,1,0.05,1.0,Hebbian
10,1,0.1,1.0,Hebbian
10,1,0.15,1.0,Hebbian
10,2,0.05,1.0,Hebbian
10,2,0.1,1.0,Hebbian
10,2,0.15,1.0,Hebbian
10,3,0.05,0.0,Hebbian
10,3,0.1,0.0,Hebbian
10,3,0.15,0.0,Hebbian
10,4,0.05,0.25,Hebbian
10,4,0.1,0.225,Hebbian
10,4,0.15,0.15,Hebbian
10,5,0.05,0.0,Hebbian
10,5,0.1,0.0,Hebbian
10,5,0.15,0.0,Hebbian
10,6,0.05,0.1666666666666666,Hebbian
10,6,0.1,0.1666666666666666,Hebbian
10,6,0.15,0.1666666666666666,Hebbian
10,7,0.05,0.0,Hebbian
10,7,0.1,0.0,Hebbian
10,7,0.15,0.0,Hebbian
10,8,0.05,0.0,Hebbian
10,8,0.1,0.0,Hebbian
10,8,0.15,0.0,Hebbian
10,9,0.05,0.0,Hebbian
10,9,0.1,0.0111111111111111,Hebbian
10,9,0.15,0.0333333333333333,Hebbian
10,10,0.05,0.1,Hebbian
10,10,0.1,0.08,Hebbian
10,10,0.15,0.1,Hebbian
10,11,0.05,0.0,Hebbian
10,11,0.1,0.0,Hebbian
10,11,0.15,0.0,Hebbian
10,12,0.05,0.0583333333333333,Hebbian
10,12,0.1,0.075,Hebbian
10,12,0.15,0.0583333333333333,Hebbian
10,13,0.05,0.0384615384615384,Hebbian
10,13,0.1,0.0384615384615384,Hebbian
10,13,0.15,0.0461538461538461,Hebbian
10,14,0.05,0.0,Hebbian
10,14,0.1,0.0,Hebbian
10,14,0.15,0.0,Hebbian
10,15,0.05,0.0,Hebbian
10,15,0.1,0.0,Hebbian
10,15,0.15,0.0,Hebbian
10,16,0.05,0.0,Hebbian
10,16,0.1,0.0,Hebbian
10,16,0.15,0.0,Hebbian
10,17,0.05,0.0,Hebbian
10,17,0.1,0.0,Hebbian
10,17,0.15,0.0,Hebbian
10,18,0.05,0.0,Hebbian
10,18,0.1,0.0,Hebbian
10,18,0.15,0.0,Hebbian
10,19,0.05,0.0,Hebbian
10,19,0.1,0.0,Hebbian
10,19,0.15,0.0,Hebbian
10,20,0.05,0.0,Hebbian
10,20,0.1,0.0,Hebbian
10,20,0.15,0.0,Hebbian
10,21,0.05,0.0,Hebbian
10,21,0.1,0.0,Hebbian
10,21,0.15,0.0,Hebbian
10,22,0.05,0.0,Hebbian
10,22,0.1,0.0,Hebbian
10,22,0.15,0.0,Hebbian
10,23,0.05,0.0,Hebbian
10,23,0.1,0.0,Hebbian
10,23,0.15,0.0,Hebbian
10,24,0.05,0.0,Hebbian
10,24,0.1,0.0,Hebbian
10,24,0.15,0.0,Hebbian
10,25,0.05,0.0,Hebbian
10,25,0.1,0.0,Hebbian
10,25,0.15,0.0,Hebbian
10,26,0.05,0.0,Hebbian
10,26,0.1,0.0,Hebbian
10,26,0.15,0.0,Hebbian
15,1,0.05,1.0,Hebbian
15,1,0.1,1.0,Hebbian
15,1,0.15,1.0,Hebbian
15,2,0.05,1.0,Hebbian
15,2,0.1,1.0,Hebbian
15,2,0.15,1.0,Hebbian
15,3,0.05,0.0,Hebbian
15,3,0.1,0.0,Hebbian
15,3,0.15,0.0,Hebbian
15,4,0.05,0.0,Hebbian
15,4,0.1,0.0,Hebbian
15,4,0.15,0.0,Hebbian
15,5,0.05,0.0,Hebbian
15,5,0.1,0.0,Hebbian
15,5,0.15,0.0,Hebbian
15,6,0.05,0.0,Hebbian
15,6,0.1,0.0,Hebbian
15,6,0.15,0.0,Hebbian
15,7,0.05,0.0,Hebbian
15,7,0.1,0.0,Hebbian
15,7,0.15,0.0,Hebbian
15,8,0.05,0.0,Hebbian
15,8,0.1,0.0,Hebbian
15,8,0.15,0.0,Hebbian
15,9,0.05,0.0,Hebbian
15,9,0.1,0.0,Hebbian
15,9,0.15,0.0,Hebbian
15,10,0.05,0.0,Hebbian
15,10,0.1,0.0,Hebbian
15,10,0.15,0.0,Hebbian
15,11,0.05,0.0,Hebbian
15,11,0.1,0.0,Hebbian
15,11,0.15,0.0,Hebbian
15,12,0.05,0.0,Hebbian
15,12,0.1,0.0,Hebbian
15,12,0.15,0.0,Hebbian
15,13,0.05,0.0,Hebbian
15,13,0.1,0.0,Hebbian
15,13,0.15,0.0,Hebbian
15,14,0.05,0.0,Hebbian
15,14,0.1,0.0,Hebbian
15,14,0.15,0.0,Hebbian
15,15,0.05,0.0,Hebbian
15,15,0.1,0.0,Hebbian
15,15,0.15,0.0,Hebbian
15,16,0.05,0.0,Hebbian
15,16,0.1,0.0,Hebbian
15,16,0.15,0.0,Hebbian
15,17,0.05,0.0,Hebbian
15,17,0.1,0.0,Hebbian
15,17,0.15,0.0,Hebbian
15,18,0.05,0.0,Hebbian
15,18,0.1,0.0,Hebbian
15,18,0.15,0.0,Hebbian
15,19,0.05,0.0,Hebbian
15,19,0.1,0.0,Hebbian
15,19,0.15,0.0,Hebbian
15,20,0.05,0.0,Hebbian
15,20,0.1,0.0,Hebbian
15,20,0.15,0.0,Hebbian
15,21,0.05,0.0,Hebbian
15,21,0.1,0.0,Hebbian
15,21,0.15,0.0,Hebbian
15,22,0.05,0.0,Hebbian
15,22,0.1,0.0,Hebbian
15,22,0.15,0.0,Hebbian
15,23,0.05,0.0,Hebbian
15,23,0.1,0.0,Hebbian
15,23,0.15,0.0,Hebbian
15,24,0.05,0.0,Hebbian
15,24,0.1,0.0,Hebbian
15,24,0.15,0.0,Hebbian
15,25,0.05,0.0,Hebbian
15,25,0.1,0.0,Hebbian
15,25,0.15,0.0,Hebbian
15,26,0.05,0.0,Hebbian
15,26,0.1,0.0,Hebbian
15,26,0.15,0.0,Hebbian
